Time resolution is 1 ps
Time=0 | st=x | fifty=0 dollar=0 cancel=0 | Ins=0 Dsp=0 Ret=0
Time=5000 | st=0 | fifty=0 dollar=0 cancel=0 | Ins=1 Dsp=0 Ret=0
Time=20000 | st=0 | fifty=1 dollar=0 cancel=0 | Ins=1 Dsp=0 Ret=0
Time=25000 | st=1 | fifty=1 dollar=0 cancel=0 | Ins=1 Dsp=0 Ret=0
Time=30000 | st=1 | fifty=0 dollar=0 cancel=0 | Ins=1 Dsp=0 Ret=0
Time=40000 | st=1 | fifty=1 dollar=0 cancel=0 | Ins=1 Dsp=0 Ret=0
Time=45000 | st=2 | fifty=1 dollar=0 cancel=0 | Ins=0 Dsp=1 Ret=0
Time=50000 | st=2 | fifty=0 dollar=0 cancel=0 | Ins=0 Dsp=1 Ret=0
Time=55000 | st=0 | fifty=0 dollar=0 cancel=0 | Ins=1 Dsp=0 Ret=0
Time=90000 | st=0 | fifty=0 dollar=1 cancel=0 | Ins=1 Dsp=0 Ret=0
Time=95000 | st=2 | fifty=0 dollar=1 cancel=0 | Ins=0 Dsp=1 Ret=0
Time=100000 | st=2 | fifty=0 dollar=0 cancel=0 | Ins=0 Dsp=1 Ret=0
Time=105000 | st=0 | fifty=0 dollar=0 cancel=0 | Ins=1 Dsp=0 Ret=0
Time=140000 | st=0 | fifty=1 dollar=0 cancel=0 | Ins=1 Dsp=0 Ret=0
Time=145000 | st=1 | fifty=1 dollar=0 cancel=0 | Ins=1 Dsp=0 Ret=0
Time=150000 | st=1 | fifty=0 dollar=0 cancel=0 | Ins=1 Dsp=0 Ret=0
Time=160000 | st=1 | fifty=0 dollar=1 cancel=0 | Ins=1 Dsp=0 Ret=0
Time=165000 | st=3 | fifty=0 dollar=1 cancel=0 | Ins=0 Dsp=0 Ret=1
Time=170000 | st=3 | fifty=0 dollar=0 cancel=0 | Ins=0 Dsp=0 Ret=1
Time=175000 | st=0 | fifty=0 dollar=0 cancel=0 | Ins=1 Dsp=0 Ret=0
Time=190000 | st=0 | fifty=1 dollar=0 cancel=0 | Ins=1 Dsp=0 Ret=0
Time=195000 | st=1 | fifty=1 dollar=0 cancel=0 | Ins=1 Dsp=0 Ret=0
Time=200000 | st=1 | fifty=0 dollar=0 cancel=0 | Ins=1 Dsp=0 Ret=0
Time=210000 | st=1 | fifty=0 dollar=0 cancel=1 | Ins=1 Dsp=0 Ret=0
Time=215000 | st=3 | fifty=0 dollar=0 cancel=1 | Ins=0 Dsp=0 Ret=1
Time=220000 | st=3 | fifty=0 dollar=0 cancel=0 | Ins=0 Dsp=0 Ret=1
Time=225000 | st=0 | fifty=0 dollar=0 cancel=0 | Ins=1 Dsp=0 Ret=0
$finish called at time : 240 ns : File "D:/Lab1/Lab1.srcs/sources_1/new/lab1_FSM_tb.v" Line 103
