Op code,,Function,,,,,,,OP CODE,R[rd],R[rs],D/I/TRG,,Assembly Code,,Code,Parity,Data,,RAM Data Init,,RAM Parity Init
nop,0,0,,,,00,>>,,nop,,,,,nop,,00000,,0000,,,,
add,0,1,,,,01,>>,,lli,r4,,71,,"lli   r4, #71",,0E071,0,E071,,,,
sub,0,2,,,,02,>>,,nop,,,,,nop,,00000,,0000,,,,
and,0,3,,,,03,>>,,lli,r1,,1,,"lli   r1, #1",,0C801,0,C801,,,,
or,0,4,,,,04,>>,,lli,r2,,2,,"lli   r2, #2",,0D002,,D002,,,,
nand,0,5,,,,05,>>,,lui,r4,r4,f9,,"lui   r4, r4, #f9",,124F9,4,24F9,,,,
nor,0,6,,,,06,>>,,add,r2,r1,,,"add   r2, r1",,01101,,1101,,,,
xor,0,7,,,,07,>>,,mov,r5,r3,,,"mov   r5, r3",,02B0A,0,2B0A,,,,
not,0,8,,,,08,>>,,addi,r3,r1,1,,"addi  r3, r1, #1",,15901,,5901,,,,
mov,0,10,,,,09,>>,,addi,r6,r4,5,,"addi  r6, r4, #5",,17405,5,7405,,,,
jlr,0,15,,,,0A,>>,,nop,,,,,nop,,00000,,0000,,,,
,,,,,,0B,>>,,nop,,,,,nop,,00000,0,0000,,,,
jal,12,,,,,0C,>>,,add,r4,r1,,,"add   r4, r1",,02101,,2101,,,,
psh,14,,,,,0D,>>,,sub,r5,r1,,,"sub   r5, r1",,02902,0,2902,,,,
lw,1,,,,,0E,>>,,nop,,,,,nop,,00000,,0000,,,,
sw,2,,,,,0F,>>,,sw,r4,r1,0,,"sw    r4, r1, #0",,0A100,0,A100,00,".INIT_00(256'hA100_0000_2902_2101_0000_0000_7405_5901_2B0A_1101_24F9_D002_C801_0000_E071_0000),",00050400,
lli,3,,,,,10,>>,,sw,r5,r1,1,,"sw    r5, r1, #1",,0A901,,A901,,,,
lui,4,,,,,11,>>,,nop,,,,,nop,,00000,0,0000,,,,
addi,5,,,,,12,>>,,lw,r6,r1,0,,"lw    r6, r1, #0",,07100,,7100,,,,
beq,8,,,,,13,>>,,add,r1,r6,,,"add   r1, r6",,00E01,0,0E01,,,,
bne,9,,,,,14,>>,,lw,r7,r1,1,,"lw    r7, r1, #1",,07901,,7901,,,,
blt,10,,,,,15,>>,,add,r3,r1,,,"add   r3, r1",,01901,0,1901,,,,
bgt,11,,,,,16,>>,,add,r5,r3,,,"add   r5, r3",,02B01,,2B01,,,,
,,,,,,17,>>,,nop,,,,,nop,,00000,0,0000,,,,
r0,0,,,,,18,>>,,nop,,,,,nop,,00000,,0000,,,,
r1,1,,,,,19,>>,,lw,r7,r0,2,,"lw    r7, r0, #2",,07802,0,7802,,,,
r2,2,,,,,1A,>>,,add,r2,r7,,,"add   r2, r7",,01701,,1701,,,,
r3,3,,,,,1B,>>,,add,r1,r7,,,"add   r1, r7",,00F01,0,0F01,,,,
r4,4,,,,,1C,>>,,add,r3,r2,,,"add   r3, r2",,01A01,,1A01,,,,
r5,5,,,,,1D,>>,,nop,,,,,nop,,00000,0,0000,,,,
r6,6,,,,,1E,>>,,nop,,,,,nop,,00000,,0000,,,,
r7,7,,,,,1F,>>,,lli,r4,,0,,"lli   r4, #0",,0E000,0,E000,01,".INIT_01(256'hE000_0000_0000_1A01_0F01_1701_7802_0000_0000_2B01_1901_7901_0E01_7100_0000_A901),",00000000,
,,,,,,20,>>,,beq,r4,r0,9,,"beq   r4, r0, #9",,22009,,2009,,,,
,,,,,,21,>>,,beq,r4,r0,3c,,"beq   r4, r0, #3c",,2203C,A,203C,,,,
,,,,,,22,>>,,beq,r4,r0,dd,,"beq   r4, r0, #dd",,220DD,,20DD,,,,
,,,,,,23,>>,,nop,,,,,nop,,00000,2,0000,,,,
,,,,,,24,>>,,nop,,,,,nop,,00000,,0000,,,,
,,,,,,25,>>,,nop,,,,,nop,,00000,0,0000,,,,
,,,,,,26,>>,,nop,,,,,nop,,00000,,0000,,,,
,,,,,,27,>>,,nop,,,,,nop,,00000,0,0000,,,,
,,,,,,28,>>,,nop,,,,,nop,,00000,,0000,,,,
,,,,,,29,>>,,nop,,,,,nop,,00000,0,0000,,,,
,,,,,,2A,>>,,nop,,,,,nop,,00000,,0000,,,,
,,,,,,2B,>>,,nop,,,,,nop,,00000,0,0000,,,,
,,,,,,2C,>>,,nop,,,,,nop,,00000,,0000,,,,
,,,,,,2D,>>,,nop,,,,,nop,,00000,0,0000,,,,
,,,,,,2E,>>,,beq,r0,r0,e1,,"beq   r0, r0, #e1",,200E1,,00E1,,,,
,,,,,,2F,>>,,nop,,,,,nop,,00000,2,0000,02,".INIT_02(256'h0000_00E1_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_20DD_203C_2009),",2000002A,
,,,,,,30,>>,,nop,,,,,nop,,00000,,0000,,,,
,,,,,,31,>>,,nop,,,,,nop,,00000,0,0000,,,,
,,,,,,32,>>,,nop,,,,,nop,,00000,,0000,,,,
,,,,,,33,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,34,>>,,,,,,,,,00000,,0000,,,,
,,,,,,35,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,36,>>,,,,,,,,,00000,,0000,,,,
,,,,,,37,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,38,>>,,,,,,,,,00000,,0000,,,,
,,,,,,39,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,3A,>>,,,,,,,,,00000,,0000,,,,
,,,,,,3B,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,3C,>>,,,,,,,,,00000,,0000,,,,
,,,,,,3D,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,3E,>>,,,,,,,,,00000,,0000,,,,
,,,,,,3F,>>,,,,,,,,,00000,0,0000,03,".INIT_03(256'h0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000),",00000000,
,,,,,,40,>>,,,,,,,,,00000,,0000,,,,
,,,,,,41,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,42,>>,,,,,,,,,00000,,0000,,,,
,,,,,,43,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,44,>>,,,,,,,,,00000,,0000,,,,
,,,,,,45,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,46,>>,,,,,,,,,00000,,0000,,,,
,,,,,,47,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,48,>>,,,,,,,,,00000,,0000,,,,
,,,,,,49,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,4A,>>,,,,,,,,,00000,,0000,,,,
,,,,,,4B,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,4C,>>,,,,,,,,,00000,,0000,,,,
,,,,,,4D,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,4E,>>,,,,,,,,,00000,,0000,,,,
,,,,,,4F,>>,,,,,,,,,00000,0,0000,04,".INIT_04(256'h0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000),",00000000,
,,,,,,50,>>,,,,,,,,,00000,,0000,,,,
,,,,,,51,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,52,>>,,,,,,,,,00000,,0000,,,,
,,,,,,53,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,54,>>,,,,,,,,,00000,,0000,,,,
,,,,,,55,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,56,>>,,,,,,,,,00000,,0000,,,,
,,,,,,57,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,58,>>,,,,,,,,,00000,,0000,,,,
,,,,,,59,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,5A,>>,,,,,,,,,00000,,0000,,,,
,,,,,,5B,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,5C,>>,,,,,,,,,00000,,0000,,,,
,,,,,,5D,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,5E,>>,,,,,,,,,00000,,0000,,,,
,,,,,,5F,>>,,,,,,,,,00000,0,0000,05,".INIT_05(256'h0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000),",00000000,
,,,,,,60,>>,,,,,,,,,00000,,0000,,,,
,,,,,,61,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,62,>>,,,,,,,,,00000,,0000,,,,
,,,,,,63,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,64,>>,,,,,,,,,00000,,0000,,,,
,,,,,,65,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,66,>>,,,,,,,,,00000,,0000,,,,
,,,,,,67,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,68,>>,,,,,,,,,00000,,0000,,,,
,,,,,,69,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,6A,>>,,,,,,,,,00000,,0000,,,,
,,,,,,6B,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,6C,>>,,,,,,,,,00000,,0000,,,,
,,,,,,6D,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,6E,>>,,,,,,,,,00000,,0000,,,,
,,,,,,6F,>>,,,,,,,,,00000,0,0000,06,".INIT_06(256'h0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000),",00000000,
,,,,,,70,>>,,,,,,,,,00000,,0000,,,,
,,,,,,71,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,72,>>,,,,,,,,,00000,,0000,,,,
,,,,,,73,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,74,>>,,,,,,,,,00000,,0000,,,,
,,,,,,75,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,76,>>,,,,,,,,,00000,,0000,,,,
,,,,,,77,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,78,>>,,,,,,,,,00000,,0000,,,,
,,,,,,79,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,7A,>>,,,,,,,,,00000,,0000,,,,
,,,,,,7B,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,7C,>>,,,,,,,,,00000,,0000,,,,
,,,,,,7D,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,7E,>>,,,,,,,,,00000,,0000,,,,
